Country,Regional indicator,Ladder score,Standard error of ladder score,upperwhisker,lowerwhisker,Logged GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Ladder score in Dystopia,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Dystopia + residual,Population (2020),Net Change,Density (P/Km²),Land Area (Km²),Migrants (net),Rank,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Albania,Central and Eastern Europe,4.882699966000001,0.056115732,4.992686749,4.772713184,9.417930603,0.671070457,68.70813751,0.7819942240000001,-0.042309489000000006,0.896303713,1.9723167419999998,0.906653047,0.830483913,0.8463296290000001,0.461945891,0.171027765,0.025361285,1.640897036,2878420,-3120,105,27400,-14000.0,424.0,37.25,10.18,24.43,28.33,31.35,35.89
Algeria,Middle East and North Africa,5.005099773,0.044236008,5.09180212,4.9183974269999995,9.537964821000001,0.8033851390000001,65.90517426,0.46661090899999996,-0.121105164,0.7354851370000001,1.9723167419999998,0.9438560009999999,1.143003583,0.745418549,0.083943799,0.118915014,0.12919065400000002,1.8408117290000001,43685618,797990,18,2381740,-10000.0,469.0,33.44,8.93,21.84,33.22,21.35,36.42
Argentina,Latin America and Caribbean,5.974699974,0.053441759000000005,6.079445839,5.869954109,9.810955048,0.900567949,68.80380249,0.831132412,-0.194913864,0.8420098420000001,1.9723167419999998,1.028465629,1.3725436930000001,0.849773705,0.520840347,0.070100471,0.06041505900000001,2.072540998,45111229,415097,17,2736690,4800.0,409.0,38.57,11.75,25.87,29.66,37.47,59.76
Armenia,Commonwealth of Independent States,4.676799774,0.058595355999999994,4.791646481,4.561953068,9.100476265,0.7574794290000001,66.75065613,0.7120178340000001,-0.13877961,0.7735447879999999,1.9723167419999998,0.8082624079999999,1.0345768929999999,0.77585727,0.37807580799999996,0.107225738,0.104618184,1.468161583,2962137,5512,104,28470,-4998.0,472.0,33.16,9.67,22.04,25.4,33.31,33.43
Australia,North America and ANZ,7.222799778,0.041841116000000005,7.3048081400000004,7.140791416000001,10.720596310000001,0.9448546170000001,73.60453796,0.915431738,0.19046016,0.41516911999999995,1.9723167419999998,1.3103964329999997,1.477146268,1.0226076840000002,0.6218771929999999,0.324973613,0.33599641899999994,2.129804134,25439164,296686,3,7682300,158246.0,126.2,72.033,38.904,56.352,64.478,72.53699999999999,133.36999999999998
Austria,Western Europe,7.294199944,0.033365163999999996,7.359595776,7.2288041110000005,10.7428236,0.9280458690000001,73.00250244,0.899989486,0.085429221,0.49995487899999996,1.9723167419999998,1.317285538,1.437444925,1.000933528,0.6033688779999999,0.255509764,0.28125613899999996,2.398446083,8996022,51296,109,82409,65000.0,84.5,74.7325,28.259999999999998,52.7375,66.1975,70.27250000000001,99.94250000000001
Azerbaijan,Commonwealth of Independent States,5.164800167,0.034197241,5.231826782,5.097773552,9.687726974,0.819308281,65.50839996,0.786824107,-0.24025528100000001,0.55253756,1.9723167419999998,0.990272701,1.180613041,0.731134057,0.467734724,0.040113214,0.24730718100000001,1.507632971,10120555,91459,123,82658,1200.0,493.0,29.41,9.3,19.89,24.32,31.25,34.29
Bahrain,Middle East and North Africa,6.227300167,0.081882261,6.387789249,6.066811085,10.67638016,0.876342118,68.5,0.905855775,0.13372919,0.7393470999999999,1.9723167419999998,1.296692252,1.31532371,0.838836372,0.610399902,0.287453711,0.12669725699999998,1.751917362,1688629,60403,2239,760,47800.0,304.0,55.23,28.59,42.62,47.89,54.77,72.63
Bangladesh,South Asia,4.832799911,0.040124192999999996,4.911443233,4.75415659,8.287063599,0.687292993,64.50306702,0.90062499,-0.033664726,0.661843538,1.9723167419999998,0.556156278,0.8688005809999999,0.694940507,0.604130566,0.17674511699999998,0.176735908,1.755261898,164354176,1643222,1265,130170,-369501.0,481.0,31.57,6.03,19.48,28.1,20.73,41.15
Belarus,Commonwealth of Independent States,5.539899826,0.037060037000000004,5.6125373839999995,5.467262268,9.779945374,0.90674746,66.10433197,0.6391630770000001,-0.164926544,0.63571167,1.9723167419999998,1.0188544990000001,1.38713932,0.75258857,0.29075586800000003,0.08993306,0.193607435,1.8069911,9449940,-3088,47,202910,8730.0,457.0,34.07,10.95,23.13,26.58,38.05,46.29
